utrials.thisRepN,utrials.thisTrialN,utrials.thisN,utrials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,uIntrotext.started,uenter_resp.started,uenter_resp.keys,uenter_resp.rt,ukey_resp.started,Q.started,W.started,O.started,P.started,ukey_resp.keys,ukey_resp.rt,sad1.started,text_3.started,sad1.stopped,text_3.stopped,text.started,enterresp.started,enterresp.keys,enterresp.rt,Optionq.started,optionw.started,optiono.started,Optionp.started,key_resp.started,Ql.started,Wl.started,Ol.started,Pl.started,key_resp.keys,key_resp.rt,clk.started,clk.stopped,sad.started,text_2.started,sad.stopped,text_2.stopped,Optionq.stopped,optionw.stopped,optiono.stopped,Optionp.stopped,key_resp.stopped,Ql.stopped,Wl.stopped,Ol.stopped,Pl.stopped,text_4.started,Roll Number,Name,date,expName,psychopyVersion,frameRate,
,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,68.9915861999616,68.9915861999616,68.9915861999616,68.9915861999616,68.9915861999616,68.9915861999616,68.9915861999616,68.9915861999616,68.9915861999616,p,0.1579191000200808,69.15810599992983,69.15810599992983,69.15810599992983,69.15810599992983,69.56087630009279,69.56087630009279,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
,,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,69.56087630009279,69.56087630009279,69.56087630009279,69.56087630009279,69.56087630009279,69.56087630009279,69.56087630009279,69.56087630009279,69.56087630009279,p,0.14812500006519258,69.71906180004589,69.71906180004589,69.71906180004589,69.71906180004589,70.12339500011876,70.12339500011876,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
,,,,,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,70.12339500011876,70.12339500011876,70.12339500011876,70.12339500011876,70.12339500011876,70.12339500011876,70.12339500011876,70.12339500011876,70.12339500011876,p,0.17874719994142652,70.30864830012433,70.30864830012433,70.30864830012433,70.30864830012433,70.71384490001947,70.71384490001947,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
,,,,,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,70.71384490001947,70.71384490001947,70.71384490001947,70.71384490001947,70.71384490001947,70.71384490001947,70.71384490001947,70.71384490001947,70.71384490001947,p,0.19980740011669695,70.92170950002037,70.92170950002037,70.92170950002037,70.92170950002037,71.32466510008089,71.32466510008089,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
,,,,,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,71.32466510008089,71.32466510008089,71.32466510008089,71.32466510008089,71.32466510008089,71.32466510008089,71.32466510008089,71.32466510008089,71.32466510008089,p,0.21558200009167194,71.54684330010787,71.54684330010787,71.54684330010787,71.54684330010787,71.95087529998273,71.95087529998273,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
,,,,,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,71.95087529998273,71.95087529998273,71.95087529998273,71.95087529998273,71.95087529998273,71.95087529998273,71.95087529998273,71.95087529998273,71.95087529998273,p,0.20559020014479756,72.16461120010354,72.16461120010354,72.16461120010354,72.16461120010354,72.56807400006801,72.56807400006801,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
,,,,,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,72.56807400006801,72.56807400006801,72.56807400006801,72.56807400006801,72.56807400006801,72.56807400006801,72.56807400006801,72.56807400006801,72.56807400006801,q,0.022128499811515212,72.6010267001111,72.6010267001111,72.6010267001111,72.6010267001111,73.00534850009717,73.00534850009717,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
,,,,,,,,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,73.00534850009717,73.00534850009717,73.00534850009717,73.00534850009717,73.00534850009717,73.00534850009717,73.00534850009717,73.00534850009717,73.00534850009717,p,0.0722938000690192,73.08755280007608,73.08755280007608,73.08755280007608,73.08755280007608,73.4917381000705,73.4917381000705,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
,,,,,,,,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,73.4917381000705,73.4917381000705,73.4917381000705,73.4917381000705,73.4917381000705,73.4917381000705,73.4917381000705,73.4917381000705,73.4917381000705,q,0.06914219981990755,73.5676122000441,73.5676122000441,73.5676122000441,73.5676122000441,73.97037869994529,73.97037869994529,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
,,,,,,,,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,73.97037869994529,73.97037869994529,73.97037869994529,73.97037869994529,73.97037869994529,73.97037869994529,73.97037869994529,73.97037869994529,73.97037869994529,None,,74.96934229996987,75.37371279997751,74.96934229996987,74.96934229996987,74.96934229996987,75.37371279997751,74.96934229996987,74.96934229996987,74.96934229996987,74.96934229996987,74.96934229996987,74.96934229996987,74.96934229996987,74.96934229996987,74.96934229996987,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
