newtrials.thisRepN,newtrials.thisTrialN,newtrials.thisN,newtrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,newintrotext.started,newintroresp.started,newintroresp.keys,newintroresp.rt,key_resp_2.started,reme_t.started,key_resp_2.keys,key_resp_2.rt,newkeyresp.started,nQ.started,nW.started,nO.started,nP.started,newkeyresp.keys,newkeyresp.rt,text_7.started,text.started,text_6.started,textbox.started,key_resp_3.started,textbox.text,key_resp_3.keys,key_resp_3.rt,text_2.started,text_2.stopped,text_7.stopped,text.stopped,Roll Number,Name,date,expName,psychopyVersion,frameRate,
63,0,63,0,0,0,0,0,,,,,,,,,99.7300446999725,99.7300446999725,space,1.878814599942416,,,,,,,,,,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
63,0,63,0,,,,,,,,,,,,,,,,,101.63251790008508,101.63251790008508,101.63251790008508,101.63251790008508,101.63251790008508,q,0.4169945998582989,102.07996929995716,102.09622850012966,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
64,0,64,0,,,,,,,,,,,,,,,,,102.49883860000409,102.49883860000409,102.49883860000409,102.49883860000409,102.49883860000409,w,0.18904719990678132,102.71285269991495,102.72991010011174,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
65,0,65,0,,,,,,,,,,,,,,,,,103.13260399992578,103.13260399992578,103.13260399992578,103.13260399992578,103.13260399992578,o,0.24559990013949573,103.39617469999939,103.41296080010943,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
66,0,66,0,,,,,,,,,,,,,,,,,103.81530879996717,103.81530879996717,103.81530879996717,103.81530879996717,103.81530879996717,p,0.17835210007615387,104.01279660011642,104.02985029993579,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
67,0,67,0,,,,,,,,,,,,,,,,,104.43229010002688,104.43229010002688,104.43229010002688,104.43229010002688,104.43229010002688,p,0.16580120008438826,104.6129079000093,104.62985730008222,,,,,,,,,104.62985730008222,105.03248269995674,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
68,0,68,0,,,,,,,,,,,,,,,,,105.03248269995674,105.03248269995674,105.03248269995674,105.03248269995674,105.03248269995674,p,0.1855391999706626,105.24625739990734,105.26280839997344,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
69,0,69,0,,,,,,,,,,,,,,,,,105.66525400010869,105.66525400010869,105.66525400010869,105.66525400010869,105.66525400010869,p,0.16787160001695156,105.86284189997241,105.87983160000294,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
70,0,70,0,,,,,,,,,,,,,,,,,106.28294400009327,106.28294400009327,106.28294400009327,106.28294400009327,106.28294400009327,p,0.19042050000280142,106.4961023000069,106.51293900003657,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
71,0,71,0,,,,,,,,,,,,,,,,,106.91529810009524,106.91529810009524,106.91529810009524,106.91529810009524,106.91529810009524,p,0.12954200012609363,107.0625837999396,107.0797687000595,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
72,0,72,0,,,,,,,,,,,,,,,,,107.48366850009188,107.48366850009188,107.48366850009188,107.48366850009188,107.48366850009188,p,0.16133429994806647,107.66266039991751,107.6795306999702,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
73,0,73,0,,,,,,,,,,,,,,,,,108.08237800002098,108.08237800002098,108.08237800002098,108.08237800002098,108.08237800002098,p,0.16679909988306463,108.27971110004,108.29651289992034,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
74,0,74,0,,,,,,,,,,,,,,,,,108.69831170001999,108.69831170001999,108.69831170001999,108.69831170001999,108.69831170001999,p,0.10691640013828874,108.82952930009924,108.84601569990627,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
